Relatório da campanha
11 de ago. de 2026 - 17 de ago. de 2026
Campanha,Dia,Status da campanha,Código da moeda,Custo,Impr.,Cliques,CTR,CPC méd.,Conversões
Festa 15 anos SP,2026-08-11,Ativada,BRL,"38,90",1200,41,"3,42%","0,95","2,00"
Festa 15 anos SP,2026-08-12,Ativada,BRL,"35,10",1150,38,"3,30%","0,92","1,00"
Festa 15 anos SP,2026-08-13,Ativada,BRL,"36,40",1180,40,"3,39%","0,91","2,00"
Festa 15 anos SP,2026-08-14,Ativada,BRL,"37,00",1210,42,"3,47%","0,88","1,00"
Festa 15 anos SP,2026-08-15,Ativada,BRL,"34,80",1090,37,"3,39%","0,94","0,00"
Festa 15 anos SP,2026-08-16,Ativada,BRL,"33,10",1020,35,"3,43%","0,95","1,00"
Festa 15 anos SP,2026-08-17,Ativada,BRL,"35,80",1160,39,"3,36%","0,92","2,00"
Personagens para festa infantil,2026-08-11,Ativada,BRL,"7,90",410,9,"2,20%","0,88","0,00"
Personagens para festa infantil,2026-08-12,Ativada,BRL,"8,10",425,10,"2,35%","0,81","0,00"
Personagens para festa infantil,2026-08-13,Ativada,BRL,"7,50",398,8,"2,01%","0,94","1,00"
Personagens para festa infantil,2026-08-14,Ativada,BRL,"8,00",430,11,"2,56%","0,73","0,00"
Personagens para festa infantil,2026-08-15,Ativada,BRL,"7,70",405,9,"2,22%","0,86","0,00"
Personagens para festa infantil,2026-08-16,Ativada,BRL,"7,20",380,7,"1,84%","1,03","0,00"
Personagens para festa infantil,2026-08-17,Ativada,BRL,"7,90",412,9,"2,18%","0,88","1,00"
Total: conta,,,BRL,"305,40",12070,335,"2,78%","0,91","11,00"
