Nome da campanha;Dia;Início dos relatórios;Término dos relatórios;Valor usado (BRL);Impressões;Alcance;Cliques no link;Resultados;Tipo de resultado
Festa 15 anos SP;2026-08-11;2026-08-11;2026-08-11;38,90;1200;980;41;2;Conversas por mensagem iniciadas
Festa 15 anos SP;2026-08-12;2026-08-12;2026-08-12;41,10;1310;1040;44;3;Conversas por mensagem iniciadas
Festa 15 anos SP;2026-08-13;2026-08-13;2026-08-13;39,75;1250;1001;39;1;Conversas por mensagem iniciadas
Festa 15 anos SP;2026-08-14;2026-08-14;2026-08-14;40,00;1290;1022;45;2;Conversas por mensagem iniciadas
Festa 15 anos SP;2026-08-15;2026-08-15;2026-08-15;1.234,56;9800;7600;310;9;Conversas por mensagem iniciadas
Festa 15 anos SP;2026-08-16;2026-08-16;2026-08-16;37,20;1180;950;36;1;Conversas por mensagem iniciadas
Festa 15 anos SP;2026-08-17;2026-08-17;2026-08-17;38,45;1210;970;40;2;Conversas por mensagem iniciadas
Luminária NFC — presente;2026-08-11;2026-08-11;2026-08-11;12,00;640;520;9;0;Cliques no link
Luminária NFC — presente;2026-08-12;2026-08-12;2026-08-12;12,00;655;530;11;1;Cliques no link
Luminária NFC — presente;2026-08-13;2026-08-13;2026-08-13;12,00;610;500;8;0;Cliques no link
Luminária NFC — presente;2026-08-14;2026-08-14;2026-08-14;12,00;670;545;12;1;Cliques no link
Luminária NFC — presente;2026-08-15;2026-08-15;2026-08-15;12,00;690;560;14;0;Cliques no link
Luminária NFC — presente;2026-08-16;2026-08-16;2026-08-16;12,00;600;490;7;0;Cliques no link
Luminária NFC — presente;2026-08-17;2026-08-17;2026-08-17;12,00;630;515;10;1;Cliques no link
